GRIN2A,CAMK2D
MAPK11,ATF2
MAPK11,GNB1
MAPK11,DUSP1
MAPK11,CREB1
GNAL,GNB1
PLCB4,ITPR2
PLCB4,ITPR3
PLCB4,GNA11
PLCB4,GNAI3
PLCB4,ITPR1
PLCB4,GNAQ
HOMER1,GRM1
HOMER1,HOMER3
HOMER1,DLG4
HOMER1,HOMER2
HOMER1,DLGAP1
HOMER1,SHANK1
HOMER1,SHANK3
HOMER1,GRM5
GNG2,GNB2
GNG2,KCNJ3
GNG2,GNB1
GNG2,KCNJ5
GNG2,GRK2
GNG2,GNB3
GNG2,GNAQ
GNG2,GNAI3
GNG2,GNAI2
GNG2,GNAS
GNG2,GNB5
GNG2,PIK3CG
GNG2,CHRM2
GNG2,GNAO1
GNG2,PLCB2
GNG2,GNB4
GNG2,GNAI1
GNG2,PIK3R5
GNG2,KCNJ6
PPP2R2C,PPP2CB
PPP2R2C,PPP2R5A
PPP2R2C,PPP2CA
PPP2R2C,PPP2R5C
PPP2R2C,PPP2R1A
PPP2R2C,PPP2R1B
PPP1CC,PPP1CA
PPP1CC,PPP2CA
PPP1CC,PPP1CB
PPP2R2B,PPP2CB
PPP2R2B,PPP2R1B
PPP2R2B,PPP2CA
PPP2R2B,PPP2R1A
ATF4,ATF2
PPP2R5E,PPP2CB
PPP2R5E,PPP2R1A
PPP2R5E,PPP2R5D
PPP2R5E,PPP2R1B
PPP2R5E,PPP2CA
PPP2R5E,PPP2R5C
HTR7,HTR3A
PLCB1,ITPR2
PLCB1,GNAO1
PLCB1,ITPR3
PLCB1,GNAQ
PLCB1,PRKCA
PLCB1,GNA11
PLCB1,ITPR1
CAMK2D,CAMK2G
CAMK2D,GRIN2B
CAMK2D,GRIN1
CAMK2D,CAMK2B
CAMK2D,GRIN2A
CAMK2D,CAMK2A
CAMK2D,GRIA1
CAMK2D,CREB1
CAMK2D,DLG4
CAMK2D,CALM2
CAMK2D,CALM1
KCNJ5,GNG2
KCNJ5,GNB1
MAOA,COMT
PLD1,PRKCA
ADCY2,PRKACB
ADCY2,PRKACG
GNAI1,HRAS
GNAI1,GNB3
GNAI1,GNB2
